---------------------------------
| Contestant  #  | Overall Time |
| Contestant 063 | 172.36101338 |
| Contestant 819 | 172.47521039 |
| Contestant 546 | 172.48880015 |
| Contestant 040 | 172.74183353 |
| Contestant 481 | 173.34546312 |
| Contestant 581 | 173.40440551 |
| Contestant 403 | 173.55032448 |
| Contestant 302 | 173.68926593 |
| Contestant 393 | 173.94405133 |
| Contestant 698 | 173.96697850 |
| Contestant 869 | 174.04321554 |
| Contestant 201 | 174.11243641 |
| Contestant 355 | 174.14095267 |
| Contestant 898 | 174.62351762 |
| Contestant 129 | 174.71506361 |
| Contestant 434 | 175.41264862 |
| Contestant 383 | 175.43209164 |
| Contestant 258 | 175.52584382 |
| Contestant 190 | 175.76927836 |
| Contestant 459 | 175.90981116 |
| Contestant 746 | 176.21960341 |
| Contestant 373 | 176.27611026 |
| Contestant 793 | 176.69751288 |
| Contestant 858 | 177.24151482 |
| Contestant 419 | 177.26740957 |
| Contestant 057 | 177.93563103 |
| Contestant 353 | 178.54163916 |
| Contestant 264 | 178.85814863 |
| Contestant 621 | 178.87974170 |
| Contestant 033 | 178.90338162 |
| Contestant 180 | 178.92340061 |
| Contestant 231 | 178.95479239 |
| Contestant 557 | 179.26930812 |
| Contestant 138 | 179.50855561 |
| Contestant 808 | 179.67357015 |
| Contestant 596 | 179.69014602 |
| Contestant 789 | 179.76893806 |
| Contestant 555 | 179.84162034 |
| Contestant 627 | 180.82465266 |
| Contestant 104 | 181.06120943 |
| Contestant 763 | 181.24017334 |
| Contestant 050 | 182.00002003 |
| Contestant 294 | 182.06948383 |
| Contestant 385 | 182.08780756 |
| Contestant 618 | 182.17471149 |
| Contestant 369 | 182.30975425 |
| Contestant 969 | 182.57913617 |
| Contestant 337 | 182.58372205 |
| Contestant 178 | 182.78208065 |
| Contestant 834 | 183.12674933 |
| Contestant 741 | 183.27481946 |
| Contestant 228 | 183.37779560 |
| Contestant 968 | 183.83427222 |
| Contestant 739 | 183.88566896 |
| Contestant 587 | 184.14341410 |
| Contestant 998 | 184.19574463 |
| Contestant 859 | 184.22003332 |
| Contestant 989 | 184.55547187 |
| Contestant 512 | 184.58123426 |
| Contestant 523 | 184.73725174 |
| Contestant 965 | 184.75171226 |
| Contestant 208 | 184.76627477 |
| Contestant 149 | 184.87929802 |
| Contestant 811 | 184.89063390 |
| Contestant 052 | 184.90803499 |
| Contestant 994 | 184.98513978 |
| Contestant 060 | 185.01801524 |
| Contestant 647 | 185.16488810 |
| Contestant 694 | 185.29373913 |
| Contestant 421 | 185.39712053 |
| Contestant 354 | 185.52716996 |
| Contestant 237 | 185.76727093 |
| Contestant 260 | 185.83804973 |
| Contestant 641 | 185.88405075 |
| Contestant 617 | 185.89633573 |
| Contestant 718 | 185.94543526 |
| Contestant 873 | 186.03386751 |
| Contestant 234 | 186.05625713 |
| Contestant 882 | 186.15356338 |
| Contestant 576 | 186.20282398 |
| Contestant 961 | 186.37270826 |
| Contestant 992 | 186.50665962 |
| Contestant 676 | 186.54488755 |
| Contestant 938 | 186.58765044 |
| Contestant 558 | 186.67788930 |
| Contestant 467 | 186.82160570 |
| Contestant 709 | 186.88388331 |
| Contestant 452 | 186.90081391 |
| Contestant 468 | 186.99674592 |
| Contestant 064 | 187.09919625 |
| Contestant 004 | 187.17346170 |
| Contestant 964 | 187.39933421 |
| Contestant 914 | 187.44920661 |
| Contestant 951 | 187.49537517 |
| Contestant 214 | 187.58563160 |
| Contestant 289 | 187.93738304 |
| Contestant 082 | 188.16420669 |
| Contestant 854 | 188.27736469 |
| Contestant 458 | 188.39713217 |
| Contestant 313 | 188.42409803 |
| Contestant 497 | 188.54719031 |
| Contestant 023 | 188.57942957 |
| Contestant 980 | 189.40728827 |
| Contestant 179 | 189.41600369 |
| Contestant 740 | 189.49957875 |
| Contestant 032 | 189.67235068 |
| Contestant 148 | 190.16132485 |
| Contestant 773 | 190.21105491 |
| Contestant 976 | 190.32930321 |
| Contestant 177 | 190.39467270 |
| Contestant 249 | 190.62831930 |
| Contestant 236 | 190.63862698 |
| Contestant 554 | 190.79483372 |
| Contestant 259 | 190.88863980 |
| Contestant 872 | 191.03764694 |
| Contestant 213 | 191.04137471 |
| Contestant 960 | 191.32824176 |
| Contestant 656 | 191.82867570 |
| Contestant 085 | 191.86636244 |
| Contestant 386 | 191.98376530 |
| Contestant 490 | 192.27453764 |
| Contestant 967 | 192.34290539 |
| Contestant 328 | 192.43360964 |
| Contestant 909 | 192.44554058 |
| Contestant 443 | 192.72258132 |
| Contestant 485 | 192.80465471 |
| Contestant 400 | 193.31000122 |
| Contestant 142 | 193.42936669 |
| Contestant 100 | 193.51157360 |
| Contestant 203 | 193.60553364 |
| Contestant 664 | 193.63922122 |
| Contestant 076 | 193.87652157 |
| Contestant 119 | 194.40621758 |
| Contestant 206 | 194.61294084 |
| Contestant 426 | 194.69120096 |
| Contestant 706 | 194.85666349 |
| Contestant 219 | 194.95087292 |
| Contestant 787 | 195.08219868 |
| Contestant 867 | 195.10429940 |
| Contestant 071 | 195.12425373 |
| Contestant 851 | 195.14973893 |
| Contestant 887 | 195.16659619 |
| Contestant 950 | 195.17238370 |
| Contestant 162 | 195.28132110 |
| Contestant 113 | 195.43981445 |
| Contestant 304 | 195.60899894 |
| Contestant 041 | 195.81990397 |
| Contestant 775 | 195.92079975 |
| Contestant 826 | 196.12746041 |
| Contestant 270 | 196.26954627 |
| Contestant 788 | 196.61019588 |
| Contestant 745 | 196.75740591 |
| Contestant 588 | 196.82598768 |
| Contestant 347 | 196.99750583 |
| Contestant 560 | 197.04027422 |
| Contestant 566 | 197.06884149 |
| Contestant 086 | 197.28873654 |
| Contestant 267 | 197.38546412 |
| Contestant 034 | 197.41314323 |
| Contestant 399 | 197.71595086 |
| Contestant 348 | 197.79675501 |
| Contestant 579 | 198.01516542 |
| Contestant 145 | 198.19115305 |
| Contestant 096 | 198.80882458 |
| Contestant 532 | 198.87157291 |
| Contestant 828 | 199.06352118 |
| Contestant 445 | 199.30739924 |
| Contestant 878 | 199.52789378 |
| Contestant 650 | 199.79494809 |
| Contestant 628 | 199.86486398 |
| Contestant 106 | 200.05112561 |
| Contestant 005 | 200.66438247 |
| Contestant 256 | 200.68550390 |
| Contestant 642 | 200.79233079 |
| Contestant 280 | 201.04245970 |
| Contestant 496 | 201.05287503 |
| Contestant 424 | 201.85030273 |
| Contestant 502 | 201.85578288 |
| Contestant 643 | 201.94699399 |
| Contestant 324 | 202.51982353 |
| Contestant 807 | 202.64507559 |
| Contestant 540 | 202.86102566 |
| Contestant 605 | 202.89412121 |
| Contestant 430 | 202.92653669 |
| Contestant 735 | 202.93569415 |
| Contestant 956 | 202.97441132 |
| Contestant 589 | 203.08299450 |
| Contestant 002 | 203.10441704 |
| Contestant 884 | 203.14262283 |
| Contestant 861 | 203.20943821 |
| Contestant 454 | 203.33734698 |
| Contestant 285 | 203.57129806 |
| Contestant 078 | 203.59885975 |
| Contestant 486 | 203.70889671 |
| Contestant 584 | 203.76277177 |
| Contestant 645 | 203.80234184 |
| Contestant 543 | 203.97334643 |
| Contestant 825 | 204.08600276 |
| Contestant 394 | 204.17174526 |
| Contestant 891 | 204.51203422 |
| Contestant 941 | 204.67163375 |
| Contestant 942 | 204.92978288 |
| Contestant 608 | 204.95007803 |
| Contestant 639 | 205.65761827 |
| Contestant 222 | 205.84972637 |
| Contestant 795 | 206.47605510 |
| Contestant 937 | 206.56389156 |
| Contestant 167 | 206.72617439 |
| Contestant 277 | 206.90973636 |
| Contestant 629 | 206.92686712 |
| Contestant 927 | 206.93628295 |
| Contestant 207 | 207.03484929 |
| Contestant 711 | 207.37727971 |
| Contestant 464 | 207.55778201 |
| Contestant 871 | 207.60495487 |
| Contestant 798 | 207.70382059 |
| Contestant 283 | 207.97364773 |
| Contestant 531 | 208.03330226 |
| Contestant 601 | 208.40213195 |
| Contestant 227 | 208.46358958 |
| Contestant 074 | 208.57720156 |
| Contestant 935 | 208.74100590 |
| Contestant 874 | 208.84262495 |
| Contestant 731 | 209.22306683 |
| Contestant 112 | 209.28046297 |
| Contestant 254 | 209.32310923 |
| Contestant 703 | 209.82749718 |
| Contestant 209 | 209.98449251 |
| Contestant 669 | 210.01602725 |
| Contestant 999 | 210.04077300 |
| Contestant 233 | 210.13713925 |
| Contestant 381 | 210.23026579 |
| Contestant 836 | 210.31511384 |
| Contestant 831 | 210.52458505 |
| Contestant 306 | 210.61435459 |
| Contestant 590 | 210.66797238 |
| Contestant 714 | 210.78867968 |
| Contestant 840 | 210.88424161 |
| Contestant 853 | 210.88961816 |
| Contestant 263 | 211.08893217 |
| Contestant 827 | 211.11595991 |
| Contestant 673 | 211.23544434 |
| Contestant 598 | 211.30523655 |
| Contestant 541 | 211.61812052 |
| Contestant 515 | 211.62995934 |
| Contestant 333 | 211.84038382 |
| Contestant 649 | 211.84115368 |
| Contestant 460 | 211.95388422 |
| Contestant 315 | 212.02144480 |
| Contestant 368 | 212.28492989 |
| Contestant 038 | 212.29066102 |
| Contestant 979 | 212.82356483 |
| Contestant 241 | 212.98269885 |
| Contestant 488 | 213.02779931 |
| Contestant 322 | 213.41647835 |
| Contestant 429 | 213.49321795 |
| Contestant 943 | 213.73512846 |
| Contestant 176 | 213.90632396 |
| Contestant 446 | 214.00161286 |
| Contestant 235 | 214.31440879 |
| Contestant 707 | 214.33564264 |
| Contestant 124 | 214.41013298 |
| Contestant 114 | 214.65057103 |
| Contestant 135 | 214.72119356 |
| Contestant 814 | 214.85727262 |
| Contestant 165 | 215.08942027 |
| Contestant 326 | 215.31529679 |
| Contestant 418 | 215.66998628 |
| Contestant 913 | 215.79275507 |
| Contestant 202 | 216.09821451 |
| Contestant 689 | 216.17837538 |
| Contestant 181 | 216.45687538 |
| Contestant 681 | 216.47302528 |
| Contestant 246 | 216.70612611 |
| Contestant 514 | 216.96550725 |
| Contestant 012 | 217.02755086 |
| Contestant 423 | 217.03499117 |
| Contestant 620 | 217.08755695 |
| Contestant 984 | 217.17084279 |
| Contestant 972 | 217.36197263 |
| Contestant 606 | 217.45432304 |
| Contestant 607 | 217.55411227 |
| Contestant 963 | 217.69686124 |
| Contestant 991 | 217.72092198 |
| Contestant 230 | 217.81861133 |
| Contestant 769 | 217.98465884 |
| Contestant 594 | 218.14150835 |
| Contestant 952 | 218.25236816 |
| Contestant 026 | 218.27631084 |
| Contestant 137 | 218.28659272 |
| Contestant 343 | 218.66881643 |
| Contestant 223 | 218.67728156 |
| Contestant 378 | 218.68866551 |
| Contestant 102 | 219.00818179 |
| Contestant 427 | 219.01337534 |
| Contestant 934 | 219.14040394 |
| Contestant 055 | 219.17962589 |
| Contestant 778 | 219.40170336 |
| Contestant 274 | 219.51487505 |
| Contestant 801 | 219.61580686 |
| Contestant 387 | 219.65382841 |
| Contestant 089 | 219.70193071 |
| Contestant 507 | 220.09282599 |
| Contestant 292 | 220.17578790 |
| Contestant 059 | 220.36918092 |
| Contestant 412 | 220.50147091 |
| Contestant 949 | 220.68326315 |
| Contestant 045 | 220.70982455 |
| Contestant 806 | 220.79481384 |
| Contestant 894 | 220.86776521 |
| Contestant 444 | 221.03340982 |
| Contestant 582 | 221.23873593 |
| Contestant 719 | 221.35850054 |
| Contestant 265 | 221.40030763 |
| Contestant 312 | 221.42317041 |
| Contestant 790 | 221.99254773 |
| Contestant 824 | 222.13697644 |
| Contestant 504 | 222.28262035 |
| Contestant 583 | 222.66380798 |
| Contestant 020 | 223.17425548 |
| Contestant 623 | 223.30763973 |
| Contestant 567 | 223.31300207 |
| Contestant 048 | 223.80186262 |
| Contestant 262 | 224.46249785 |
| Contestant 226 | 224.67822811 |
| Contestant 307 | 224.74147915 |
| Contestant 415 | 224.95837834 |
| Contestant 025 | 224.96687103 |
| Contestant 772 | 224.98918058 |
| Contestant 010 | 225.11399219 |
| Contestant 614 | 225.15207148 |
| Contestant 527 | 225.23562089 |
| Contestant 327 | 225.24387078 |
| Contestant 622 | 225.52408181 |
| Contestant 126 | 225.67667914 |
| Contestant 881 | 225.71270487 |
| Contestant 679 | 225.95715318 |
| Contestant 758 | 226.26571986 |
| Contestant 083 | 226.26637299 |
| Contestant 238 | 226.38594412 |
| Contestant 535 | 226.55744945 |
| Contestant 799 | 226.57446163 |
| Contestant 405 | 226.62307082 |
| Contestant 101 | 226.65517280 |
| Contestant 821 | 226.83602965 |
| Contestant 860 | 226.86664562 |
| Contestant 592 | 227.00832362 |
| Contestant 269 | 227.19721446 |
| Contestant 635 | 227.27506373 |
| Contestant 268 | 227.61449518 |
| Contestant 215 | 228.14117298 |
| Contestant 552 | 228.15164325 |
| Contestant 762 | 228.50627486 |
| Contestant 835 | 228.58170210 |
| Contestant 510 | 228.58590488 |
| Contestant 966 | 228.68352576 |
| Contestant 917 | 229.11275288 |
| Contestant 524 | 229.22702031 |
| Contestant 501 | 229.29458876 |
| Contestant 657 | 229.32598467 |
| Contestant 765 | 229.48678973 |
| Contestant 338 | 229.58900544 |
| Contestant 066 | 230.18973180 |
| Contestant 654 | 230.40293183 |
| Contestant 981 | 230.40758098 |
| Contestant 732 | 230.48400595 |
| Contestant 578 | 230.70707740 |
| Contestant 933 | 231.11156208 |
| Contestant 1000 | 231.40576718 |
| Contestant 473 | 231.51938160 |
| Contestant 562 | 231.61777724 |
| Contestant 551 | 231.98056571 |
| Contestant 067 | 232.01854508 |
| Contestant 271 | 232.72181826 |
| Contestant 644 | 232.95534840 |
| Contestant 742 | 233.07977815 |
| Contestant 298 | 233.20126467 |
| Contestant 986 | 233.34437439 |
| Contestant 889 | 233.38379955 |
| Contestant 077 | 233.60206576 |
| Contestant 829 | 233.65918516 |
| Contestant 361 | 233.66403313 |
| Contestant 922 | 233.71147470 |
| Contestant 683 | 234.12953025 |
| Contestant 320 | 234.28768220 |
| Contestant 974 | 234.29555008 |
| Contestant 335 | 234.34766368 |
| Contestant 777 | 234.41503456 |
| Contestant 099 | 234.86094026 |
| Contestant 660 | 235.36633027 |
| Contestant 374 | 235.40345792 |
| Contestant 990 | 235.52151904 |
| Contestant 155 | 235.53538091 |
| Contestant 600 | 235.77330674 |
| Contestant 533 | 235.80950220 |
| Contestant 189 | 236.04319032 |
| Contestant 115 | 236.09842826 |
| Contestant 245 | 236.60010311 |
| Contestant 356 | 236.67224771 |
| Contestant 321 | 236.74269452 |
| Contestant 411 | 236.88781213 |
| Contestant 536 | 236.89858933 |
| Contestant 856 | 236.98968523 |
| Contestant 330 | 237.02749589 |
| Contestant 870 | 237.07246367 |
| Contestant 404 | 237.43718739 |
| Contestant 495 | 237.69271492 |
| Contestant 633 | 237.73967181 |
| Contestant 211 | 237.77134779 |
| Contestant 239 | 238.18727152 |
| Contestant 903 | 238.32670884 |
| Contestant 857 | 238.60550617 |
| Contestant 751 | 238.63724517 |
| Contestant 665 | 238.65964745 |
| Contestant 341 | 238.71321791 |
| Contestant 186 | 238.82578629 |
| Contestant 028 | 238.87282912 |
| Contestant 316 | 238.87659671 |
| Contestant 862 | 238.93240394 |
| Contestant 448 | 238.95662664 |
| Contestant 039 | 239.02420185 |
| Contestant 944 | 239.10447314 |
| Contestant 047 | 239.16217442 |
| Contestant 091 | 239.26882294 |
| Contestant 364 | 239.30357004 |
| Contestant 686 | 239.33741041 |
| Contestant 779 | 239.46989209 |
| Contestant 602 | 239.50781691 |
| Contestant 820 | 239.65204267 |
| Contestant 802 | 239.85016467 |
| Contestant 296 | 239.95062443 |
| Contestant 611 | 240.01377901 |
| Contestant 388 | 240.13780438 |
| Contestant 947 | 240.33065322 |
| Contestant 120 | 240.55460312 |
| Contestant 926 | 240.61099483 |
| Contestant 770 | 240.63257204 |
| Contestant 021 | 240.77005374 |
| Contestant 841 | 240.80705092 |
| Contestant 200 | 240.84136481 |
| Contestant 491 | 240.86962383 |
| Contestant 936 | 240.95682379 |
| Contestant 197 | 241.23159109 |
| Contestant 478 | 241.23394423 |
| Contestant 483 | 241.32963869 |
| Contestant 548 | 241.55025404 |
| Contestant 469 | 241.61722151 |
| Contestant 744 | 241.64519337 |
| Contestant 436 | 241.64975131 |
| Contestant 339 | 241.78203713 |
| Contestant 243 | 242.49708370 |
| Contestant 759 | 242.95934800 |
| Contestant 414 | 243.14386549 |
| Contestant 957 | 243.15190854 |
| Contestant 441 | 243.17755161 |
| Contestant 954 | 243.20525900 |
| Contestant 722 | 243.25965185 |
| Contestant 616 | 243.31862211 |
| Contestant 754 | 243.45139568 |
| Contestant 556 | 243.46904808 |
| Contestant 291 | 243.47437476 |
| Contestant 953 | 243.63735764 |
| Contestant 505 | 243.69528823 |
| Contestant 121 | 244.11393258 |
| Contestant 695 | 244.26455027 |
| Contestant 646 | 244.28476678 |
| Contestant 006 | 244.44619863 |
| Contestant 018 | 244.50425867 |
| Contestant 450 | 244.57513709 |
| Contestant 940 | 244.75998432 |
| Contestant 911 | 244.78324523 |
| Contestant 930 | 244.90114783 |
| Contestant 406 | 244.97320289 |
| Contestant 103 | 245.00670981 |
| Contestant 982 | 245.31998414 |
| Contestant 784 | 245.36590807 |
| Contestant 904 | 245.41947975 |
| Contestant 929 | 245.44039944 |
| Contestant 764 | 245.68518325 |
| Contestant 183 | 245.78926947 |
| Contestant 035 | 245.94875772 |
| Contestant 776 | 245.98033291 |
| Contestant 728 | 246.25765263 |
| Contestant 250 | 246.30240563 |
| Contestant 282 | 246.30272084 |
| Contestant 508 | 246.50171214 |
| Contestant 480 | 246.58396046 |
| Contestant 685 | 246.62405640 |
| Contestant 574 | 246.64529958 |
| Contestant 068 | 246.86010510 |
| Contestant 013 | 247.10821537 |
| Contestant 027 | 247.19651921 |
| Contestant 247 | 247.23717560 |
| Contestant 375 | 247.32986512 |
| Contestant 692 | 247.39338184 |
| Contestant 803 | 247.62480819 |
| Contestant 139 | 247.87224213 |
| Contestant 890 | 248.00090262 |
| Contestant 170 | 248.03299235 |
| Contestant 564 | 248.13181095 |
| Contestant 308 | 248.43174183 |
| Contestant 724 | 248.55706569 |
| Contestant 945 | 248.66284849 |
| Contestant 850 | 248.79077579 |
| Contestant 117 | 248.80012993 |
| Contestant 367 | 249.28830565 |
| Contestant 372 | 249.53672242 |
| Contestant 637 | 249.54594681 |
| Contestant 586 | 249.63918035 |
| Contestant 908 | 249.84647859 |
| Contestant 838 | 249.99799139 |
| Contestant 095 | 250.04356635 |
| Contestant 187 | 250.25732740 |
| Contestant 630 | 250.44052618 |
| Contestant 516 | 250.46752675 |
| Contestant 755 | 250.52312542 |
| Contestant 577 | 250.67171588 |
| Contestant 738 | 250.70998371 |
| Contestant 001 | 251.32650366 |
| Contestant 513 | 251.44115768 |
| Contestant 487 | 251.55214745 |
| Contestant 538 | 251.62344314 |
| Contestant 225 | 251.95888355 |
| Contestant 281 | 252.02411898 |
| Contestant 094 | 252.23873655 |
| Contestant 365 | 252.31524693 |
| Contestant 442 | 252.53487270 |
| Contestant 520 | 252.63867997 |
| Contestant 022 | 252.64146522 |
| Contestant 351 | 252.64865073 |
| Contestant 640 | 252.79876498 |
| Contestant 191 | 253.08446905 |
| Contestant 892 | 253.10922502 |
| Contestant 895 | 253.30906168 |
| Contestant 132 | 253.37992552 |
| Contestant 122 | 253.44808111 |
| Contestant 396 | 253.82056371 |
| Contestant 721 | 253.92471032 |
| Contestant 151 | 253.95633814 |
| Contestant 658 | 253.95973652 |
| Contestant 875 | 254.59455627 |
| Contestant 848 | 254.78143239 |
| Contestant 696 | 254.78870766 |
| Contestant 042 | 254.80245219 |
| Contestant 051 | 254.99969396 |
| Contestant 815 | 255.00799710 |
| Contestant 550 | 255.33929633 |
| Contestant 837 | 255.88067613 |
| Contestant 224 | 255.91523302 |
| Contestant 054 | 255.99687485 |
| Contestant 907 | 256.96753529 |
| Contestant 273 | 257.08337774 |
| Contestant 868 | 257.08369076 |
| Contestant 962 | 257.26620070 |
| Contestant 036 | 257.32531144 |
| Contestant 901 | 257.47142174 |
| Contestant 842 | 257.55258891 |
| Contestant 087 | 258.62571378 |
| Contestant 723 | 258.76052030 |
| Contestant 049 | 259.14449819 |
| Contestant 107 | 259.23594559 |
